;map_id, map_name, map_filename, map_original, map_deathmode, map_teamdeathmode, map_bot_origanl, map_bot_deathmode, map_bot_teamdeathmod,official,official_tiebreak,map_zombi,weapon_restrict_deault,weapon_restrict_none,weapon_restrict_noawp,weapon_resctrict_classic,weapon_restrict_sniper,weapon_restrict_pistol,weapon_restrict_knife,weapon_restrict_noflash,weapon_restrict_awp,bright,skybox,density,density_r,density_g,density_b,server_limit,max_player,d3d_bright,c4pos,map_zombi_expand,ExpLimit,PointLimit,event_map,weapon_restrict_fragonly,map_zombi_team,ZBTbright,ZBTskybox,ZBTdensity,ZBTdensity_r,ZBTdensity_g,ZBTdensity_b,ZBTd3d_bright,map_challenge,map_zombi_team_ann,map_zombi_3,map_zombie_survival,Scen_CountType_1ST,Scen_CountType_2ND,Scen_CountType_3RD,Scen_Rank_Clear,map_sort,ExtraInfo,map_soccer,ball_max,ball_default,map_human_scenario,SubType,PVPVE,"Orginal_Mission(1=폭파, 2=섬멸, 3=구출, 4=암살)","Weapon_Tag (1=칼전, 2=AWP, 3=이지, 4=하드, 5=익스트림, 6=스나이퍼전, 7=아이템전)",map_FunMode,"Fun_Subtype(1=축구, 2=챌린지, 3=TDM아이템전, 4=히든, 5=좀비탈출)",map_GDM,map_Basic,map_BZM,시나리오 시즌,"약점 분석기(0=미적용, 1=적용)"
14,#CSO_piranesi_kr,de_piranesi,1,17,17,1,17,17,0,0,0,0,1,1,1,1,1,1,1,1,g,NTDM2_,0,0,0,0,0,32,h,"""-268 -747 132 -1686 2424 270""",0,1.48,1.49,,1,,g,NTDM2_,0,0,0,0,g,0,0,0,0,0,0,0,,,,0,,,0,,0,1,,,,0,0,0,,
15,#CSO_storm_kr,de_storm,12,18,18,12,18,18,0,0,0,0,1,1,1,1,1,1,1,1,h,de_2storm,0.001,10,9,3,0,32,g,"""-1733 2132 -119 1386 1441 -129""",0,1.31,1.39,,1,,l,hk,0.0007,10,9,3,l,0,0,0,0,0,0,0,,,,0,,,0,,0,1,,,,0,0,0,,
16,#CSO_survivor_kr,de_survivor,11,19,19,11,19,19,0,0,0,0,1,1,1,1,1,1,1,1,h,Mist3,0.0015,152,163,209,0,32,h,"""2578 -324 139 -650 -128 145""",0,1.51,1.57,,1,,j,hk,0.001,152,163,209,k,0,0,0,0,0,0,0,,,,0,,,0,,0,1,,,,0,0,0,,
17,#CSO_torn_kr,de_torn,10,20,20,10,20,20,0,0,0,0,1,1,1,1,1,1,1,1,d,de_2storm,0.0014,15,11,9,0,32,g,"""783 -315 -225 -2037 -102 -397""",0,1.34,1.38,,1,,h,hk,0.001,15,11,9,k,0,0,0,0,0,0,0,,,,0,,,0,,0,1,,,,0,0,0,,
18,#CSO_vertigo_kr,de_vertigo,9,21,21,9,21,21,0,0,0,0,1,1,1,1,1,1,1,1,f,backalley,0.0013,7,6,9,0,32,i,"""-283 188 54 -2256 749 52""",0,1.21,1.27,,1,,j,hk,0.001,7,6,9,k,0,0,0,0,0,0,0,,,,0,,,0,,0,1,,,,0,0,0,,
19,#CSO_italy_kr,cs_italy,119,122,122,119,122,122,0,0,10003,0,1,1,1,1,1,1,1,1,g,de_2storm,0.00095,15,12,9,0,32,h,,0,1.24,1.28,,1,,j,hk,0.0007,15,12,9,j,0,0,0,0,0,0,0,,,,0,,,0,,0,3,,,,0,120,0,,
20,#CSO_office_kr,cs_office,118,10003,10003,118,10003,10003,0,0,0,0,1,1,1,1,1,1,1,1,f,2office,0.0013,137,140,156,0,32,g,,0,1.19,1.2,,1,,h,hk,0.001,137,140,156,i,0,0,0,0,0,0,0,,,,0,,,0,,0,3,,,,10003,0,0,,
21,#CSO_747_kr,cs_747,117,10004,10004,117,10004,10004,0,0,0,0,1,1,1,1,1,1,1,1,i,backalley,0.0013,14,13,17,0,32,k,,0,1.61,1.68,,1,,k,hk,0.0008,14,13,17,l,0,0,0,0,0,0,0,,,,0,,,0,,0,3,,,,10002,0,0,,
22,#CSO_assault_kr,cs_assault,20002,20001,20001,20002,20001,20001,0,0,10001,0,1,1,1,1,1,1,1,1,h,backalley,0.001,7,6,9,0,32,i,,0,1.2,1.21,,1,,j,hk,0.0007,7,6,9,k,0,0,0,0,0,0,0,,,,0,,,0,,0,3,,,,20001,0,0,,
23,#CSO_backalley_kr,cs_backalley,8,8,8,8,8,8,0,0,0,0,1,1,1,1,1,1,1,1,j,Bsky,0.0013,0,0,0,0,32,i,,0,1.48,1.4,,1,,l,hk,0.0009,0,0,0,k,0,0,0,0,0,0,0,,,,0,,,0,,0,3,,,,0,0,0,,
24,#CSO_estate_kr,cs_estate,16,124,124,16,124,124,0,0,0,0,1,1,1,1,1,1,1,1,k,Mist,0.0015,107,115,133,0,32,k,,0,1.18,1.2,,1,,o,hk,0.0009,0,10,15,j,0,0,0,0,0,0,0,,,,0,,,0,,0,3,,,,0,0,0,,
25,#CSO_havana_kr,cs_havana,6,6,6,6,6,6,0,0,0,0,1,1,1,1,1,1,1,1,f,GrSky,0.0015,18,25,7,0,32,i,,0,1.36,1.39,,1,,i,hk,0.001,18,25,7,i,0,0,0,0,0,0,0,,,,0,,,0,,0,3,,,,0,0,0,,
26,#CSO_militia_kr,cs_militia,7,3,3,7,3,3,0,0,0,0,1,1,1,1,1,1,1,1,j,2cliff,0.00095,13,9,4,0,32,h,,0,1.63,1.59,,1,,k,hk,0.0008,13,9,4,i,0,0,0,0,0,0,0,,,,0,,,0,,0,3,,,,0,117,0,,
27,#CSO_siege_kr,cs_siege,5,5,5,5,5,5,0,0,0,0,1,1,1,1,1,1,1,1,e,2cliff,0.0012,13,14,15,0,32,g,,0,1.61,1.56,,1,,h,hk,0.0007,13,14,15,j,0,0,0,0,0,0,0,,,,0,,,0,,0,3,,,,0,0,0,,
28,#CSO_oilrig_kr,as_oilrig,4,4,4,4,4,4,0,0,0,0,1,1,1,1,1,1,1,1,h,Mist3,0.001,152,163,209,0,32,h,,0,1,1,,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,,,0,,0,4,,,,0,0,0,,
62,#CSO_vegas_kr,de_vegas,3,3,3,3,3,3,0,0,0,0,1,1,1,1,1,1,1,1,h,Moon,0.0012,10,15,18,0,32,i,"""727 -2271 -1040 1773 555 -1080""",0,1.39,1.38,,1,,j,hk,0.001,10,15,18,k,0,0,0,0,0,0,0,,,,0,,,0,,0,1,,,,20002,0,0,,
99,#CSO_industry2,DM_industry2,0,10002,10002,0,10002,10002,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,0,16,,,0,0.93,0.93,,1,,,,,,,,,0,0,0,0,0,0,0,,,,0,,,0,,0,2,,,,10001,0,0,,
100,#cso_toscana_kr,de_toscana,10005,29,29,10005,29,29,10005,10005,0,0,1,1,1,1,1,1,1,1,,,,,,,0,32,,"""576 -416 216 -1780 -492 264""",0,1,1,,1,,,,,,,,,0,0,0,0,0,0,0,,,,0,,,0,,0,1,,,,0,10002,0,,
114,#CSO_dust0,de_dust0,15,5,5,15,5,5,0,0,0,0,1,1,1,1,1,1,1,1,f,Mist2,0.0015,63,56,34,0,16,i,"""-1104 1176 16 721 144 16""",0,1,1,,1,,h,hk,0.0006,63,56,34,k,0,0,0,0,0,0,0,,,,0,,,0,,0,1,,,,0,10001,0,,
