CT,TR,C4A,C4B,Hostage,Rescue,VIP,Start,Finish,1,2,3,4,5,Red,Blue,barricade,weapon
78,cso_run2,LoadingBg_CSO_Run2,7 489 349,8 602 118,,,,,,,,,,,,,
79,zs_lostcityHard,LoadingBg_zs_lostcityHard,,,,,,,,,,,,,,,
80,zs_2gateHard,LoadingBg_zs_2gateHard,,,,,,,,,,,,,,,
81,de_rats,LoadingBg_de_rats,0 912 121,1 658 285,3 663 382,,,,,,,,,,,,
82,dm_kart,LoadingBg_dm_kart,0 775 107,1 775 363,,,,,,,,,,,,,
83,sc_cage,LoadingBg_sc_cage,,,,,,,,,,,,,,,
84,sc_soccer01,LoadingBg_sc_soccer01,,,,,,,,,,,,,,,
85,zs_chaos,LoadingBg_zs_chaos,612,613,,,,,,,,,,,,,
86,zs_lostcityEasy,LoadingBg_zs_lostcityEasy,,,,,,,,,,,,,,,
87,zs_2gateEasy,LoadingBg_zs_2gateEasy,,,,,,,,,,,,,,,
88,hs_desertstorm,LoadingBg_hs_desertstorm,338,,,,,,,,,,,,,,
89,hs_desertstormHard,LoadingBg_hs_desertstormHard,338,,,,,,,,,,,,,,
90,hs_hellfire,LoadingBg_hs_hellfire,340,,,,,,,,,,,,,,
91,hs_mosque,LoadingBg_hs_mosque,,,,,,,,,,,,,,,
92,zs_cube,LoadingBg_zs_cube,,,,,,,,,,,,,,,
93,hs_blaze,LoadingBg_hs_blaze,349,,,,,,,,,,,,,,
94,ma_metalgate,LoadingBg_MA_Metalgate,9 797 172,10 903 194,11 808 355,12 914 378,13 856 275,14 837 106,15 828 447,,,,,,,,
96,DM_port,LoadingBg_DM_port,0 935 176,1 513 176,,,,,,,,,,,,,
97,ma_quasar,LoadingBg_MA_Quasar,9 676 215,10 816 125,11 958 215,12 816 304,13 817 214,14 907 334,15 680 99,,,,,,,,
98,zs_deadend,LoadingBg_zs_deadend,612,613,,,,,,,,,,,,,
99,DM_industry2,LoadingBg_DM_industry2,0 831 102,1 825 396,,,,,,,,,,,,,
100,de_toscana,LoadingBg_de_toscana,0 929 249,1 548 254,2 828 154,3 812 390,,,,,,,,,,,
101,zs_nightmare,LoadingBg_zs_nightmare,612,613,,,,,,,,,,,,,
102,zm_requiem,LoadingBg_ZM_Requiem,,,,,,,,,,,,,,,
103,zm_rest,LoadingBg_ZM_Rest,,,,,,,,,,,,,,,
104,zm_origin,LoadingBg_ZM_Origin,,,,,,,,,,,,,,,
105,dm_suzhou,LoadingBg_DM_suzhou,0 529 205,1 935 205,,,,,,,,,,,,,
106,zs_trace,LoadingBg_ZS_trace,614,615,,,,,,,,,,,,,
107,fun_checkmate,LoadingBg_FUN_checkmate,0 938 191,1 499 191,,,,,,,,,,,,,
108,hs_sidewinder,LoadingBg_hs_sidewinder,338,340,349,,,,,,,,,,,,
109,hd_harlem,LoadingBg_HD_Harlem,,,,,,,,,,,,,,,
110,ze_bloodcastle,LoadingBg_ze_bloodcastle,7 508 282,8 892 150,,,,,,,,,,,,,
111,bk_blackout,LoadingBg_bk_blackout,0 752 85,0 720 290,1 950 140,1 920 345,,,,,,,,,,,
112,zs_culvert,LoadingBg_zs_culvert,614,615,,,,,,,,,,,,,
113,zs_decoy,LoadingBg_zs_decoy,614,615,,,,,,,,,,,,,
114,de_dust0,LoadingBg_de_dust0,0 824 105,1 670 408,2 697 92,3 893 205,,,,,,,,,,,
115,bzm_bigtree,LoadingBg_bzm_bigtree,,,,,,,,,,,,,,,
116,zm_forbidden,LoadingBg_zm_forbidden,,,,,,,,,,,,,,,
117,zs_angra,LoadingBg_zs_angra,614,615,,,,,,,,,,,,,
118,ze_skyline,LoadingBg_ze_skyline,7 520 109,8 895 398,,,,,,,,,,,,,
119,zs_nightmare2,LoadingBg_zs_nightmare2,614,615,,,,,,,,,,,,,
120,de_angelcity,LoadingBg_de_angelcity,0 797 299,1 723 160,2 918 117,,,,,,,,,,,,
121,zs_contact,LoadingBg_zs_contact,616,617,,,,,,,,,,,,,
122,ze_venice,LoadingBg_ze_venice,,,,,,,,,,,,,,,
123,zs_behind,LoadingBg_zs_behind,616,617,,,,,,,,,,,,,
124,zsh_deadcity,LoadingBg_zsh_deadcity,,,,,,,,,,,,,,,
125,br_urban,loadingbg_br_urban,0 755 422,0 911 381,0 937 236,1 739 236,1 774 120,16 831 346,16 882 227,16 794 183,,,,,,,
126,zs_defense,LoadingBg_zs_defense,616,617,,,,,,,,,,,,,
127,de_santorini,LoadingBg_de_santorini,0 585 120,1 952 325,2 735 126,3 669 245,,,,,,,,,,,
128,zs_panic,LoadingBg_zs_panic,616,617,,,,,,,,,,,,,
129,ze_hitchhiking,LoadingBg_ze_hitchhiking,7 895 440,8 875 350,,,,,,,,,,,,,
130,sm_blizzard,loadingbg_sm_blizzard,0 912 168,1 512 196,,,,,,,,,,,,,
131,zs_encounter,LoadingBg_zs_encounter,618,619,,,,,,,,,,,,,
132,dm_darksnow,LoadingBg_DM_darksnow,0 645 296,1 912 302,,,,,,,,,,,,,
133,zs_conspiracy,LoadingBg_zs_conspiracy,618,619,,,,,,,,,,,,,
134,zs_nightmare3,LoadingBg_zs_nightmare3,616,617,,,,,,,,,,,,,
135,zsh_deadcity_pvp,LoadingBg_zsh_deadcity_pvp,,,,,,,,,,,,,,,
136,zsh_deadcity_pve,LoadingBg_zsh_deadcity_pve,,,,,,,,,,,,,,,
137,zm_darkcity,LoadingBg_zm_darkcity,17 685 225,17 740 345,17 890 88,17 890 365,,,,,,,,,,,
138,zm_shoreline,LoadingBg_zm_shoreline,17 956 234,17 885 424,17 656 300,17 892 298,,,,,,,,,,,
139,zs_envymask,LoadingBg_zs_envymask,618,619,,,,,,,,,,,,,
140,zsh_dustcity_pve,LoadingBg_zsh_dustcity_pve,,,,,,,,,,,,,,,
141,de_turkey,LoadingBg_de_turkey,0 928 260,1 485 245,3 735 375,2 770 120,,,,,,,,,,,
142,bzm_metro,LoadingBg_bzm_metro,,,,,,,,,,,,,,,
143,zs_paranoia,LoadingBg_zs_paranoia,696,618,,,,,,,,,,,,,
145,zg_forsaken,LoadingBg_zg_forsaken,,,,,,,,,,,,,,,
