;Number,"Type(0=Daily, 1=Special, 2=Honor, 3=Weekly / 10=PC_daily, 11=PC_special, 12=PC_honor)","NPC(1=evelyn, 2=pelix, 3=douglas, 4=victor, 5=zim, 6=chen, 7=rowen )",Title,Title_para,NPC_talk,NPC_talk_para,Pre_quest,Start_time,End_time,"Arguments(XML, used for server)","Variables(XML, used for server)",Cond0,Cond0_para,Cond0_obj,Cond1,Cond1_para,Cond1_obj,Cond2,Cond2_para,Cond2_obj,Cond3,Cond3_para,Cond3_obj,Cond4,Cond4_para,Cond4_obj,Cond5,Cond5_para,Cond5_obj,"Reward0_resourcename(0=4001, 1=4002, 2=4003, 3=4004, 4=4005~4010, 5=4011, 6=4012, 7=4013, 8=4014)",Reward0_related_reward_ID,Reward1_resourcename,Reward1_related_reward_ID,Reward2_resourcename,Reward2_related_reward_ID,Reward3_resourcename,Reward3_related_reward_ID,Title ID,"HonorQuestType(1=시나리오, 2=펀, 3=좀비, 4=킬러X, 5=클랜, 6=작업병, 7=기록병)",조건지급식 여부(1=조건지급)
2012,2,4,#CSO_Quest_Honor012_Name,,#CSO_Quest_Honor012_Desc,,0,,,,<vars><playtime init='0'/></vars>,#CSO_Quest_Honor012_Cond1,,1,,,,,,,,,,,,,,,,4,4005,,,,,,,12,7,
2013,2,4,#CSO_Quest_Honor013_Name,,#CSO_Quest_Honor013_Desc,,0,,,,,#CSO_Quest_Honor013_Cond1,,100,,,,,,,,,,,,,,,,4,4005,,,,,,,13,2,
2014,2,4,#CSO_Quest_Honor014_Name,,#CSO_Quest_Honor014_Desc,,0,,,,,#CSO_Quest_Honor014_Cond1,,50,#CSO_Quest_Honor014_Cond2,,100,,,,,,,,,,,,,4,4005,,,,,,,14,2,
2015,2,4,#CSO_Quest_Honor015_Name,,#CSO_Quest_Honor015_Desc,,0,,,,,#CSO_Quest_Honor015_Cond1,,100,#CSO_Quest_Honor015_Cond2,,100,,,,,,,,,,,,,4,4005,,,,,,,15,2,
2016,2,4,#CSO_Quest_Honor016_Name,,#CSO_Quest_Honor016_Desc,,0,,,,,#CSO_Quest_Honor016_Cond1,,200,#CSO_Quest_Honor016_Cond2,,10,,,,,,,,,,,,,4,4005,,,,,,,16,2,
2017,2,4,#CSO_Quest_Honor017_Name,,#CSO_Quest_Honor017_Desc,,0,,,,,#CSO_Quest_Honor017_Cond1,,50,,,,,,,,,,,,,,,,4,4005,,,,,,,17,2,
2018,2,4,#CSO_Quest_Honor018_Name,,,,0,,,,,,,5000,,,100,,,1000,,,100,,,,,,,4,4007,,,,,,,18,2,
2019,2,4,#CSO_Quest_Honor019_Name,,,,0,,,,,,,500,,,1000,,,5000,,,,,,,,,,4,4007,,,,,,,19,2,
2020,2,4,#CSO_Quest_Honor020_Name,,,,0,,,,,,,2500,,,,,,,,,,,,,,,,4,4009,,,,,,,20,2,
2021,2,4,#CSO_Quest_Honor021_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,4,4006,,,,,,,21,1,
2022,2,4,#CSO_Quest_Honor022_Name,,,,0,,,,,,,100,,,100,,,,,,,,,,,,,4,4007,,,,,,,22,6,
2023,2,4,#CSO_Quest_Honor023_Name,,,,0,,,,,,,30,,,,,,,,,,,,,,,,4,4008,,,,,,,23,6,
2024,2,4,#CSO_Quest_Honor024_Name,,,,0,,,,,,,10000,,,,,,,,,,,,,,,,4,4006,,,,,,,24,3,
2026,2,4,#CSO_Quest_Honor026_Name,,#CSO_Quest_Honor026_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor026_Cond1,,300,,,,,,,,,,,,,,,,4,4007,,,,,,,26,7,
2027,2,4,#CSO_Quest_Honor027_Name,,,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,,,1000,,,,,,,,,,,,,,,,4,4008,,,,,,,27,7,
2035,2,4,#CSO_Quest_Honor035_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,35,7,1
2036,2,4,#CSO_Quest_Honor036_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,36,7,1
2037,2,4,#CSO_Quest_Honor037_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,37,7,1
2038,2,4,#CSO_Quest_Honor038_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,38,7,1
2039,2,4,#CSO_Quest_Honor039_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,39,7,1
2048,2,4,#CSO_Quest_Honor048_Name,,#CSO_Quest_Honor048_Desc,,0,,,,,#CSO_Quest_Honor048_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,48,7,
2049,2,4,#CSO_Quest_Honor049_Name,,#CSO_Quest_Honor049_Desc,,0,,,,,#CSO_Quest_Honor049_Cond1,,2500,,,,,,,,,,,,,,,,4,4009,,,,,,,49,5,
2050,2,4,#CSO_Quest_Honor050_Name,,#CSO_Quest_Honor050_Desc,,0,,,,,#CSO_Quest_Honor050_Cond1,,100,,,,,,,,,,,,,,,,4,4007,,,,,,,50,5,
2051,2,4,#CSO_Quest_Honor051_Name,,#CSO_Quest_Honor051_Desc,,0,,,<args><clanMemberLimit value='4' testvalue='1'/></args>,<vars><dt_sec /></vars>,#CSO_Quest_Honor051_Cond1,,350,,,,,,,,,,,,,,,,4,4007,,,,,,,51,5,
2052,2,4,#CSO_Quest_Honor052_Name,,#CSO_Quest_Honor052_Desc,,0,,,<args><clanMemberLimit value='4' testvalue='1'/></args>,<vars><dt_sec /></vars>,#CSO_Quest_Honor052_Cond1,,350,,,,,,,,,,,,,,,,4,4007,,,,,,,52,5,
2053,2,4,#CSO_Quest_Honor053_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,53,5,1
2056,2,4,#CSO_Quest_Honor056_Name,,#CSO_Quest_Honor056_Desc,,0,,,<args><memberLimit value='8' testvalue='1'/></args>,<vars><kill init='0' /><flag init='0' /></vars>,#CSO_Quest_Honor056_Cond1,,1000,,,,,,,,,,,,,,,,4,4007,,,,,,,56,4,
2069,2,4,#CSO_Quest_Honor069_Name,,#CSO_Quest_Honor069_Desc,,0,,,<args><memberLimit value='8' testvalue='1'/></args>,,#CSO_Quest_Honor069_Cond1,,1000,#CSO_Quest_Honor069_Cond2,,500,#CSO_Quest_Honor069_Cond3,,400,#CSO_Quest_Honor069_Cond4,,300,#CSO_Quest_Honor069_Cond5,,200,#CSO_Quest_Honor069_Cond6,,100,4,4007,,,,,,,69,4,
2075,2,4,#CSO_Quest_Honor075_Name,,#CSO_Quest_Honor075_Desc,,0,,,<args><memberLimit value='6' testvalue='1'/></args>,,#CSO_Quest_Honor075_Cond1,,150,#CSO_Quest_Honor075_Cond2,,100,,,,,,,,,,,,,4,4006,,,,,,,75,6,
2088,2,4,#CSO_Quest_Honor088_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,88,7,1
2089,2,4,#CSO_Quest_Honor089_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,89,7,1
2090,2,4,#CSO_Quest_Honor090_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,90,7,1
2091,2,4,#CSO_Quest_Honor091_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,91,7,1
2031,2,4,#CSO_Quest_Honor031_Name,,#CSO_Quest_Honor031_Desc,,0,,,,,#CSO_Quest_Honor031_Cond1,,1000,,,,,,,,,,,,,,,,4,4006,,,,,,,31,2,
2032,2,4,#CSO_Quest_Honor032_Name,,#CSO_Quest_Honor032_Desc,,0,,,,,#CSO_Quest_Honor032_Cond1,,1000,,,,,,,,,,,,,,,,4,4006,,,,,,,32,2,
2033,2,4,#CSO_Quest_Honor033_Name,,,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,,,3000,,,,,,,,,,,,,,,,4,4009,,,,,,,33,2,
